name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging,In_ESPN_Top_50
Brice Turang,MIL,2B,155,559,72,142,24,4,7,57,50,105,50,0.254,0.316,0.349,0.665,False
Willi Castro,MIN,OF,158,558,89,138,31,5,12,60,51,150,14,0.247,0.331,0.385,0.716,False
Alec Bohm,PHI,3B,143,554,62,155,44,2,15,97,40,86,5,0.28,0.332,0.448,0.78,True
Jackson Merrill,SD,OF,156,554,77,162,31,6,24,90,29,101,16,0.292,0.326,0.5,0.826,True
Yordan Alvarez,HOU,OF,147,552,88,170,34,2,35,86,69,95,6,0.308,0.392,0.567,0.959,True
Orlando Arcia,ATL,SS,157,551,50,120,24,0,17,46,41,128,2,0.218,0.271,0.354,0.625,False
Bryce Harper,PHI,1B,145,550,85,157,42,0,30,87,76,138,7,0.285,0.373,0.525,0.898,True
Alec Burleson,STL,OF,152,547,71,147,20,0,21,78,35,76,9,0.269,0.314,0.42,0.734,True
Brent Rooker,OAK,DH,145,546,82,160,26,2,39,112,59,177,11,0.293,0.365,0.562,0.927,True
Cal Raleigh,SEA,C,153,546,73,120,16,0,34,100,70,176,6,0.22,0.312,0.436,0.748,False
George Springer,TOR,OF,145,545,74,120,19,3,19,56,60,115,16,0.22,0.303,0.371,0.674,False
Ceddanne Rafaela,BOS,OF,152,544,70,134,23,5,15,75,15,151,19,0.246,0.274,0.39,0.664,False
Zach Neto,LAA,SS,155,542,70,135,34,1,23,77,39,140,30,0.249,0.318,0.443,0.761,False
Freddie Freeman,LAD,1B,147,542,81,153,35,2,22,89,78,100,9,0.282,0.378,0.476,0.854,True
Brenton Doyle,COL,OF,149,542,82,141,24,4,23,72,46,153,30,0.26,0.317,0.446,0.763,False
CJ Abrams,WSH,SS,138,541,79,133,29,6,20,65,40,128,31,0.246,0.314,0.433,0.747,False
Oneil Cruz,PIT,OF,146,541,72,140,34,3,21,76,51,181,22,0.259,0.324,0.449,0.773,False
Jake Burger,MIA,1B,137,535,68,134,23,1,29,76,31,150,1,0.25,0.301,0.46,0.761,False
Dansby Swanson,CHC,SS,149,534,82,129,27,2,16,66,54,144,19,0.242,0.312,0.39,0.702,False
Jonathan India,CIN,2B,151,533,84,132,28,2,15,58,80,125,13,0.248,0.357,0.392,0.749,False
Jackson Chourio,MIL,OF,148,528,80,145,29,4,21,79,39,121,22,0.275,0.327,0.464,0.791,True
Rafael Devers,BOS,3B,138,525,87,143,34,5,28,83,67,147,3,0.272,0.354,0.516,0.87,True
Josh Smith,TEX,3B,149,523,67,135,30,1,13,62,46,121,11,0.258,0.337,0.394,0.731,False
Carlos Santana,MIN,1B,150,521,63,124,26,0,23,71,65,99,4,0.238,0.328,0.42,0.748,False
Nolan Schanuel,LAA,1B,147,519,62,130,19,0,13,54,68,103,10,0.25,0.343,0.362,0.705,False
Matt Vierling,DET,OF,144,518,80,133,28,5,16,57,41,121,6,0.257,0.312,0.423,0.735,False
Cody Bellinger,CHC,OF,130,516,72,137,23,3,18,78,45,89,9,0.266,0.325,0.426,0.751,True
Colt Keith,DET,2B,148,516,54,134,15,4,13,61,36,110,7,0.26,0.309,0.38,0.689,False
Lourdes Gurriel,ARI,OF,133,513,72,143,22,2,18,75,29,101,7,0.279,0.322,0.435,0.757,False
Riley Greene,DET,OF,137,512,82,134,27,6,24,74,64,156,4,0.262,0.348,0.479,0.827,False
Seiya Suzuki,CHC,OF,132,512,74,145,27,6,21,73,63,160,16,0.283,0.366,0.482,0.848,True
Bryson Stott,PHI,2B,148,506,65,124,19,2,11,57,53,93,32,0.245,0.315,0.356,0.671,False
Trea Turner,PHI,SS,121,505,88,149,25,0,21,62,27,98,19,0.295,0.338,0.469,0.807,True
Ketel Marte,ARI,2B,136,504,93,147,23,2,36,95,65,106,7,0.292,0.372,0.56,0.932,True
Brendan Rodgers,COL,2B,135,501,67,134,29,1,13,54,31,132,1,0.267,0.314,0.407,0.721,True
Luis Arraez,SD,1B,117,500,61,159,24,2,4,41,16,18,9,0.318,0.346,0.398,0.744,False
Luis Garcia,WSH,2B,140,500,58,141,25,1,18,70,27,86,22,0.282,0.318,0.444,0.762,False
Colton Cowser,BAL,OF,153,499,77,121,24,3,24,69,52,172,9,0.242,0.321,0.447,0.768,False
