name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Ryan McKenna,BAL,OF,9,8,3,3,0,0,2,2,1,1,0,.375,.444,1.125,1.569
Cade Marlowe,SEA,OF,8,8,1,2,0,0,0,0,1,1,0,.250,.333,.250,.583
Cooper Hummel,HOU,DH,6,8,0,0,0,0,0,0,0,2,1,.000,.000,.000,.000
Matt Duffy,TEX,3B,4,7,2,2,0,0,0,0,2,1,0,.286,.500,.286,.786
Aramis Garcia,PHI,C,3,7,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000
Nick Ahmed,SD,SS,2,7,1,1,0,0,0,0,0,2,0,.143,.143,.143,.286
Zack Short,BOS,2B,2,7,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000
Grant Koch,PIT,C,3,7,1,0,0,0,0,0,1,6,0,.000,.125,.000,.125
Tristan Gray,MIA,1B,7,7,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000
Dustin Harris,TEX,OF,2,6,1,2,1,0,1,3,1,2,0,.333,.429,1.000,1.429
Andrew Knapp,SF,C,3,6,0,1,0,0,0,0,0,2,0,.167,.167,.167,.334
Diego A. Castillo,MIN,OF,4,6,3,2,1,0,0,2,2,1,0,.333,.500,.500,1.000
Ryan McKenna,SF,OF,4,6,1,0,0,0,0,0,0,4,1,.000,.000,.000,.000
Taylor Trammell,LAD,OF,5,6,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000
Jair Camargo,MIN,C,5,6,1,0,0,0,0,0,1,3,0,.000,.143,.000,.143
Tyler Gentry,KC,OF,3,5,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000
Stone Garrett,WSH,DH,2,5,2,3,1,0,1,3,1,0,0,.600,.667,1.400,2.067
Sandro Fabian,TEX,OF,3,5,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Brian Anderson,ATL,3B,3,5,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000
Cavan Biggio,ATL,2B,4,5,1,1,0,0,0,0,0,2,0,.200,.200,.200,.400
Greg Jones,COL,OF,6,5,1,1,0,0,1,1,1,4,0,.200,.333,.800,1.133
Nick Maton,BAL,3B,5,5,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000
Brewer Hicklen,MIL,OF,3,5,0,0,0,0,0,0,0,4,1,.000,.000,.000,.000
Samad Taylor,SEA,2B,3,5,2,2,0,0,0,0,0,1,0,.400,.400,.400,.800
Myles Straw,CLE,OF,7,4,2,1,0,0,0,0,0,0,2,.250,.250,.250,.500
Jose Devers,MIA,SS,3,4,1,1,0,0,0,0,0,1,0,.250,.250,.250,.500
Jose Tena,CLE,3B,3,4,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000
Aledmys Diaz,HOU,SS,2,4,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000
Duke Ellis,CWS,OF,8,4,1,0,0,0,0,0,0,2,4,.000,.000,.000,.000
Matthew Batten,SD,3B,1,3,0,1,0,1,0,0,0,0,0,.333,.333,1.000,1.333
Forrest Wall,MIA,OF,3,3,1,1,0,0,0,0,0,2,1,.333,.333,.333,.666
Orelvis Martinez,TOR,2B,1,3,0,1,0,0,0,0,0,1,0,.333,.333,.333,.666
Sam Huff,TEX,C,3,3,0,0,0,0,0,0,1,2,0,.000,.250,.000,.250
Livan Soto,CIN,SS,1,3,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000
Tyler Heineman,BOS,C,2,2,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333
Cristian Pache,BAL,OF,3,1,0,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Taylor Trammell,NYY,OF,5,1,2,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
Daniel Johnson,BAL,OF,1,1,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
David Banuelos,BAL,C,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jacob Amaya,HOU,SS,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Duke Ellis,NYY,OF,3,1,0,1,0,0,0,0,0,0,1,1.000,1.000,1.000,2.000
Chris Roller,MIL,OF,1,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000
Eric Yang,CIN,C,1,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000
